Player,Nation,Pos,Squad,Comp,Age,MP,Min,TklW,Int,Clr,Blocks,Carries,PrgDist,FinalThird,Ast,KP,CrsPA
Junior Diaz,ci CIV,DF,Brest,fr Ligue 1,22-294,19,1472,15,23,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Luis Díaz,co COL,MF,Bayern Munich,de Bundesliga,29-120,31,2357,13,17,0.0,0.0,0.0,0.0,0.0,13,0.0,0.0
Pedro Díaz,es ESP,"MF,FW",Rayo Vallecano,es La Liga,27-342,31,1665,23,5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Tyler Dibling,eng ENG,MF,Everton,eng Premier League,20-062,14,358,3,6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nouha Dicko,ml MLI,"FW,MF",Paris FC,fr Ligue 1,33-364,8,72,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Yaya Diémé,sn SEN,FW,Strasbourg,fr Ligue 1,18-209,2,145,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,26-051,21,1132,2,2,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Eric Dier,eng ENG,DF,Monaco,fr Ligue 1,32-118,9,688,2,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,32-297,30,1762,25,12,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Kevin Diks,id IDN,DF,Gladbach,de Bundesliga,29-219,29,2374,29,24,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Federico Dimarco,it ITA,MF,Inter,it Serie A,28-184,33,2618,31,29,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0
Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,32-139,17,1530,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Junior Dina Ebimbe,cm CMR,MF,Brest,fr Ligue 1,25-173,26,1102,12,6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Eren Dinkçi,de GER,"MF,FW",Heidenheim,de Bundesliga,24-151,13,1059,13,5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Eren Dinkçi,de GER,MF,Freiburg,de Bundesliga,24-151,8,248,4,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
